Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
13 Specialist managers,1311 Advertising and sales manager,131112 Director - sales,Female,65110,82336,66369,77707,66002,86505,70225
13 Specialist managers,1311 Advertising and sales manager,131112 Director - sales,Male,98813,113040,88712,106841,88520,119410,94587
13 Specialist managers,1311 Advertising and sales manager,131112 Director - sales,Total,163923,100845,79623,95258,79442,106340,84414
13 Specialist managers,1311 Advertising and sales manager,131113 Advertising manager,Female,3755,85760,71836,80042,71645,89368,75276
13 Specialist managers,1311 Advertising and sales manager,131113 Advertising manager,Male,2890,120646,90061,109302,90110,125938,95542
13 Specialist managers,1311 Advertising and sales manager,131113 Advertising manager,Total,6645,100932,79349,92658,79053,105267,83311
13 Specialist managers,1311 Advertising and sales manager,131114 Manager - public relations,Female,3113,86635,74312,82591,73540,89960,77521
13 Specialist managers,1311 Advertising and sales manager,131114 Manager - public relations,Male,1178,114018,94061,109364,94773,118444,98504
13 Specialist managers,1311 Advertising and sales manager,131114 Manager - public relations,Total,4291,94153,79240,89929,78924,97774,82947
13 Specialist managers,1321 Corporate services manager,132111 Corporate services manager,Female,5020,96199,82794,92758,82473,99900,86115
13 Specialist managers,1321 Corporate services manager,132111 Corporate services manager,Male,5368,129800,106441,123056,105402,134889,111147
13 Specialist managers,1321 Corporate services manager,132111 Corporate services manager,Total,10388,113563,93561,108380,93232,117976,97437
13 Specialist managers,1322 Finance manager,132211 Finance manager,Female,26826,85025,67624,78766,65622,87941,70220
13 Specialist managers,1322 Finance manager,132211 Finance manager,Male,22421,159935,118444,144490,118210,164923,123056
13 Specialist managers,1322 Finance manager,132211 Finance manager,Total,49247,119130,86793,108729,84999,122990,90267
13 Specialist managers,1323 Human resource manager,132311 Industrial relations manager,Female,18339,109662,91389,103446,90313,113075,94422
13 Specialist managers,1323 Human resource manager,132311 Industrial relations manager,Male,6830,142004,110656,127352,109372,146173,114488
13 Specialist managers,1323 Human resource manager,132311 Industrial relations manager,Total,25169,118439,96421,109914,95199,122057,99712
13 Specialist managers,1324 Policy and planning manager,132411 Manager - policy and planning,Female,21414,100399,95829,97325,95640,102238,97684
13 Specialist managers,1324 Policy and planning manager,132411 Manager - policy and planning,Male,19107,120594,109425,114635,108811,122845,111096
13 Specialist managers,1324 Policy and planning manager,132411 Manager - policy and planning,Total,40521,109921,103296,105477,102987,111954,105152
13 Specialist managers,1325 Research and development manager,132511 Manager - research and development,Female,6012,84094,75519,77943,73723,87300,78455
13 Specialist managers,1325 Research and development manager,132511 Manager - research and development,Male,4812,113350,97930,106504,97019,117741,101746
