Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
"14 Hospitality, retail and service managers",1411 Café or restaurant manager,141111 Cafe manager,Male,22091,50672,47096,47010,47514,53206,49606
"14 Hospitality, retail and service managers",1411 Café or restaurant manager,141111 Cafe manager,Total,52266,45156,41865,42006,41600,47232,43889
"14 Hospitality, retail and service managers",1412 Caravan park manager,141211 Caravan park manager,Female,1184,52588,41848,39908,40000,54692,43949
"14 Hospitality, retail and service managers",1412 Caravan park manager,141211 Caravan park manager,Male,1264,56189,43712,42768,42181,58904,46296
"14 Hospitality, retail and service managers",1412 Caravan park manager,141211 Caravan park manager,Total,2448,54447,42560,41391,41188,56867,45081
"14 Hospitality, retail and service managers",1413 Hotel or motel manager,141311 Hotel manager,Female,5520,55517,50137,49623,50189,58022,53071
"14 Hospitality, retail and service managers",1413 Hotel or motel manager,141311 Hotel manager,Male,7929,71112,57680,64135,58104,74388,60383
"14 Hospitality, retail and service managers",1413 Hotel or motel manager,141311 Hotel manager,Total,13449,64711,54649,58193,55512,67669,57066
"14 Hospitality, retail and service managers",1414 Licensed club manager,141411 Club licensee,Female,1188,58052,54316,58251,55780,60828,56819
"14 Hospitality, retail and service managers",1414 Licensed club manager,141411 Club licensee,Male,2370,77765,67307,78041,69258,81228,70849
"14 Hospitality, retail and service managers",1414 Licensed club manager,141411 Club licensee,Total,3558,71183,62548,71420,64005,74415,65410
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141911 Bed and breakfast owner operator,Female,24,21369,18461,19432,18000,22236,19509
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141911 Bed and breakfast owner operator,Male,22,26135,21732,23747,16500,28442,23409
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141911 Bed and breakfast owner operator,Total,46,23648,18844,21326,18000,25204,19931
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141912 Manager - retirement village,Female,443,59590,56232,58100,56119,62236,58642
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141912 Manager - retirement village,Male,236,78132,66795,73245,65787,81387,68593
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141912 Manager - retirement village,Total,679,66035,58906,63256,58821,68893,61417
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141999 Hostel manager,Female,482,53805,48869,48963,47863,55964,51126
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141999 Hostel manager,Male,467,59424,53904,52222,51940,61788,55779
"14 Hospitality, retail and service managers",1419 Other accommodation or hospitality manager,141999 Hostel manager,Total,949,56570,50959,50565,49499,58830,53000
"14 Hospitality, retail and service managers",1421 Retail manager,142111 Manager - retail store,Female,56915,46732,45183,45237,46013,48796,47197
"14 Hospitality, retail and service managers",1421 Retail manager,142111 Manager - retail store,Male,49015,60885,54965,58507,55851,63547,57643
"14 Hospitality, retail and service managers",1421 Retail manager,142111 Manager - retail store,Total,105930,53281,48906,51367,49849,55621,51131
"14 Hospitality, retail and service managers",1421 Retail manager,142112 Antique dealer,Female,25,40649,37000,31305,21000,41263,37906
"14 Hospitality, retail and service managers",1421 Retail manager,142112 Antique dealer,Male,66,44543,38596,36272,34716,50201,39033
"14 Hospitality, retail and service managers",1421 Retail manager,142112 Antique dealer,Total,91,43473,37046,34928,31887,47746,37906
"14 Hospitality, retail and service managers",1421 Retail manager,142113 Betting agency manager,Female,111,57971,51819,55327,50466,60928,55440
"14 Hospitality, retail and service managers",1421 Retail manager,142113 Betting agency manager,Male,197,97234,75898,93838,75942,101094,78383
"14 Hospitality, retail and service managers",1421 Retail manager,142113 Betting agency manager,Total,308,83084,64146,79868,67817,86619,69345
"14 Hospitality, retail and service managers",1421 Retail manager,142114 Beauty salon manager,Female,3383,43591,41986,40174,41629,46125,44763
"14 Hospitality, retail and service managers",1421 Retail manager,142114 Beauty salon manager,Male,577,54400,49080,49468,47834,57176,51760
"14 Hospitality, retail and service managers",1421 Retail manager,142114 Beauty salon manager,Total,3960,45166,42766,41506,42212,47735,45603
"14 Hospitality, retail and service managers",1421 Retail manager,142115 Manager - post office,Female,911,63356,60409,58745,58517,65307,62633
"14 Hospitality, retail and service managers",1421 Retail manager,142115 Manager - post office,Male,1159,74963,74950,71820,74902,77327,78250
"14 Hospitality, retail and service managers",1421 Retail manager,142115 Manager - post office,Total,2070,69855,69381,66066,69073,72037,72150
"14 Hospitality, retail and service managers",1421 Retail manager,142116 Manager - travel agency,Female,2024,63736,54183,60042,56116,68161,58497
"14 Hospitality, retail and service managers",1421 Retail manager,142116 Manager - travel agency,Male,979,85463,66375,74596,66367,90421,70124
"14 Hospitality, retail and service managers",1421 Retail manager,142116 Manager - travel agency,Total,3003,70819,57399,64751,59156,75423,62059
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149111 Amusement centre manager,Female,280,40279,38168,38376,37497,41970,39747
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149111 Amusement centre manager,Male,305,55591,48798,52930,47590,58286,50646
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149111 Amusement centre manager,Total,585,48262,42854,45955,41743,50463,45190
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149112 Fitness centre manager,Female,1254,47379,43278,44919,43668,50430,46699
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149112 Fitness centre manager,Male,1286,59322,53362,56769,54531,62827,57345
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149112 Fitness centre manager,Total,2540,53426,48562,50889,49249,56706,51797
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149113 Manager - sports centre,Female,605,53667,50679,51622,50398,56301,53509
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149113 Manager - sports centre,Male,1133,64702,59698,62138,59960,67866,62711
"14 Hospitality, retail and service managers","1491 Amusement, fitness or sports centre manager",149113 Manager - sports centre,Total,1738,60861,56145,58464,56056,63840,59716
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149211 Call centre manager,Female,2340,69912,64971,69470,65733,71988,67108
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149211 Call centre manager,Male,1744,82108,74628,81348,75126,84417,76298
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149211 Call centre manager,Total,4084,75120,68848,74539,69680,77296,71067
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149212 Client service manager,Female,65420,50613,47754,49327,48123,52367,49574
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149212 Client service manager,Male,34507,62190,55807,60963,56749,64515,58083
"14 Hospitality, retail and service managers",1492 Call or contact centre or customer service manager,149212 Client service manager,Total,99927,54611,50174,53342,50700,56562,52114
"14 Hospitality, retail and service managers",1493 Conference and event organiser,149311 Conference and event organiser,Female,12850,51988,49942,50130,50634,54303,52248
"14 Hospitality, retail and service managers",1493 Conference and event organiser,149311 Conference and event organiser,Male,3723,56437,51709,53492,52085,59149,54730
"14 Hospitality, retail and service managers",1493 Conference and event organiser,149311 Conference and event organiser,Total,16573,52988,50207,50882,50826,55392,52675
"14 Hospitality, retail and service managers",1494 Transport services manager,149411 Fleet manager,Female,746,65409,62165,65497,63470,68094,64450
"14 Hospitality, retail and service managers",1494 Transport services manager,149411 Fleet manager,Male,3013,84366,76266,83966,77773,87883,79453
"14 Hospitality, retail and service managers",1494 Transport services manager,149411 Fleet manager,Total,3759,80604,73340,80300,74842,83955,76284
"14 Hospitality, retail and service managers",1494 Transport services manager,149412 Manager - railway station,Female,217,82582,81961,84778,85132,85232,85028
"14 Hospitality, retail and service managers",1494 Transport services manager,149412 Manager - railway station,Male,1064,106016,100203,103961,100948,109496,103366
"14 Hospitality, retail and service managers",1494 Transport services manager,149412 Manager - railway station,Total,1281,102046,95917,100716,97801,105385,98898
"14 Hospitality, retail and service managers",1494 Transport services manager,149413 Bus - owner-driver,Female,1510,72082,62557,67218,61643,75135,65672
"14 Hospitality, retail and service managers",1494 Transport services manager,149413 Bus - owner-driver,Male,15188,77452,69540,74165,70475,81424,73409
"14 Hospitality, retail and service managers",1494 Transport services manager,149413 Bus - owner-driver,Total,16698,76967,68963,73532,69908,80855,72820
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149911 Boarding kennel or cattery operator,Female,257,34324,31360,29629,28743,35606,33280
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149911 Boarding kennel or cattery operator,Male,112,48702,42857,45159,44452,50655,46192
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149911 Boarding kennel or cattery operator,Total,369,38688,33334,34262,32145,40174,34606
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149912 Cinema manager,Female,702,47969,43161,45240,42092,49966,44583
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149912 Cinema manager,Male,706,56409,51406,52699,51176,58767,54320
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149912 Cinema manager,Total,1408,52201,47111,48993,45961,54379,48774
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149913 Facilities manager,Female,2202,70300,63776,69887,65650,73205,66876
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149913 Facilities manager,Male,6650,86910,80140,85545,81062,90281,83232
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149913 Facilities manager,Total,8852,82778,76549,81655,77536,86033,79564
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149914 Bank manager,Female,8744,106976,90616,103850,91762,110720,94363
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149914 Bank manager,Male,11458,155518,121556,145020,120844,160697,126379
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149914 Bank manager,Total,20202,134508,106251,127188,106880,139065,110324
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149915 Equipment hire manager,Female,203,60592,54010,52963,50774,63987,56462
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149915 Equipment hire manager,Male,1166,78212,71995,74576,72375,81108,74536
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149915 Equipment hire manager,Total,1369,75599,68799,71401,69021,78588,72154
"14 Hospitality, retail and service managers","1499 Other hospitality, retail or service manager",149999 Brothel keeper,Female,425,60861,49222,53923,48800,64342,53028
